event_id,session_id,event_type,severity,timestamp,duration_seconds,is_flagged
1,1,tab_switch,info,2026-09-03 22:11:31.543479,0,False
2,1,face_absent,warning,2026-09-03 22:33:42.543479,22,True
3,1,audio_spike,info,2026-09-03 22:05:55.543479,0,False
4,2,tab_switch,info,2026-09-06 10:07:41.174241,0,False
5,2,face_absent,warning,2026-09-06 10:12:24.174241,11,True
6,2,audio_spike,info,2026-09-06 10:11:33.174241,0,False
7,3,tab_switch,info,2026-09-03 23:30:40.442048,0,False
8,3,tab_switch,info,2026-09-03 23:04:07.442048,0,False
9,3,focus_loss,info,2026-09-03 23:39:47.442048,28,False
10,3,focus_loss,info,2026-09-03 22:57:56.442048,6,False
11,3,face_absent,warning,2026-09-03 22:54:02.442048,8,True
12,3,audio_spike,info,2026-09-03 22:53:57.442048,0,False
13,4,focus_loss,info,2026-09-05 22:02:21.227784,17,False
14,4,face_absent,warning,2026-09-05 21:31:28.227784,20,True
15,5,face_absent,warning,2026-09-09 15:03:29.620427,15,True
16,5,audio_spike,info,2026-09-09 15:03:11.620427,0,False
17,6,tab_switch,warning,2026-08-26 08:42:56.496166,0,True
18,6,tab_switch,warning,2026-08-26 08:52:20.496166,0,True
19,6,tab_switch,warning,2026-08-26 09:11:01.496166,0,True
20,6,tab_switch,warning,2026-08-26 09:13:20.496166,0,True
21,6,focus_loss,warning,2026-08-26 09:01:24.496166,28,True
22,6,focus_loss,warning,2026-08-26 09:12:30.496166,24,True
23,6,focus_loss,warning,2026-08-26 08:34:02.496166,18,True
24,6,focus_loss,warning,2026-08-26 08:43:43.496166,9,True
25,6,focus_loss,warning,2026-08-26 08:27:27.496166,9,True
26,6,focus_loss,warning,2026-08-26 09:13:41.496166,21,True
27,6,face_absent,warning,2026-08-26 09:00:28.496166,109,True
28,6,multi_face,critical,2026-08-26 08:27:37.496166,0,True
29,6,audio_spike,info,2026-08-26 09:14:31.496166,0,False
30,6,audio_spike,info,2026-08-26 08:44:52.496166,0,False
31,7,tab_switch,warning,2026-08-22 22:52:01.836433,0,True
32,7,tab_switch,warning,2026-08-22 22:59:14.836433,0,True
33,7,tab_switch,warning,2026-08-22 22:51:13.836433,0,True
34,7,tab_switch,warning,2026-08-22 23:27:10.836433,0,True
35,7,tab_switch,warning,2026-08-22 22:51:11.836433,0,True
36,7,tab_switch,warning,2026-08-22 23:02:36.836433,0,True
37,7,focus_loss,warning,2026-08-22 22:54:44.836433,15,True
38,7,focus_loss,warning,2026-08-22 23:03:21.836433,21,True
39,7,focus_loss,warning,2026-08-22 23:27:08.836433,21,True
40,7,focus_loss,warning,2026-08-22 23:28:49.836433,4,True
41,7,focus_loss,warning,2026-08-22 23:15:10.836433,5,True
42,7,focus_loss,warning,2026-08-22 23:26:23.836433,24,True
43,7,focus_loss,warning,2026-08-22 23:22:14.836433,21,True
44,7,face_absent,warning,2026-08-22 23:08:08.836433,26,True
45,7,face_absent,warning,2026-08-22 23:04:21.836433,27,True
46,7,face_absent,warning,2026-08-22 23:00:29.836433,27,True
47,7,audio_spike,info,2026-08-22 23:07:59.836433,0,False
48,7,audio_spike,info,2026-08-22 23:02:50.836433,0,False
49,7,audio_spike,info,2026-08-22 23:04:40.836433,0,False
50,8,tab_switch,warning,2026-08-25 11:36:34.858840,0,True
51,8,tab_switch,warning,2026-08-25 11:04:57.858840,0,True
52,8,tab_switch,warning,2026-08-25 11:03:08.858840,0,True
53,8,tab_switch,warning,2026-08-25 11:34:50.858840,0,True
54,8,tab_switch,warning,2026-08-25 11:12:41.858840,0,True
55,8,tab_switch,warning,2026-08-25 11:32:40.858840,0,True
56,8,tab_switch,warning,2026-08-25 11:16:14.858840,0,True
57,8,tab_switch,warning,2026-08-25 11:07:10.858840,0,True
58,8,tab_switch,warning,2026-08-25 11:21:57.858840,0,True
59,8,tab_switch,warning,2026-08-25 11:02:49.858840,0,True
60,8,tab_switch,warning,2026-08-25 11:14:48.858840,0,True
61,8,tab_switch,warning,2026-08-25 11:23:21.858840,0,True
62,8,tab_switch,warning,2026-08-25 11:17:35.858840,0,True
63,8,tab_switch,warning,2026-08-25 11:08:54.858840,0,True
64,8,focus_loss,warning,2026-08-25 11:35:13.858840,17,True
65,8,focus_loss,warning,2026-08-25 11:18:47.858840,25,True
66,8,focus_loss,warning,2026-08-25 11:34:14.858840,22,True
67,8,focus_loss,warning,2026-08-25 11:35:59.858840,3,True
68,8,focus_loss,warning,2026-08-25 11:05:12.858840,12,True
69,8,focus_loss,warning,2026-08-25 11:16:11.858840,7,True
70,8,focus_loss,warning,2026-08-25 11:05:26.858840,6,True
71,8,focus_loss,warning,2026-08-25 11:35:54.858840,26,True
72,8,focus_loss,warning,2026-08-25 11:16:43.858840,7,True
73,8,focus_loss,warning,2026-08-25 11:39:25.858840,12,True
74,8,focus_loss,warning,2026-08-25 11:21:32.858840,9,True
75,8,face_absent,warning,2026-08-25 11:12:01.858840,61,True
76,8,face_absent,warning,2026-08-25 11:41:25.858840,61,True
77,8,face_absent,warning,2026-08-25 11:16:09.858840,62,True
78,8,multi_face,critical,2026-08-25 11:32:38.858840,0,True
79,8,multi_face,critical,2026-08-25 11:31:29.858840,0,True
80,8,audio_spike,warning,2026-08-25 11:15:16.858840,0,True
81,8,audio_spike,warning,2026-08-25 11:01:36.858840,0,True
82,8,audio_spike,warning,2026-08-25 11:04:26.858840,0,True
83,8,audio_spike,warning,2026-08-25 11:41:26.858840,0,True
84,8,audio_spike,warning,2026-08-25 11:27:02.858840,0,True
85,8,audio_spike,warning,2026-08-25 11:17:01.858840,0,True
86,8,audio_spike,warning,2026-08-25 11:01:08.858840,0,True
87,9,tab_switch,warning,2026-08-24 23:40:39.352354,0,True
88,9,tab_switch,warning,2026-08-24 23:03:01.352354,0,True
89,9,tab_switch,warning,2026-08-24 23:10:00.352354,0,True
90,9,tab_switch,warning,2026-08-24 23:07:30.352354,0,True
91,9,tab_switch,warning,2026-08-24 23:12:32.352354,0,True
92,9,tab_switch,warning,2026-08-24 23:39:36.352354,0,True
93,9,tab_switch,warning,2026-08-24 23:04:49.352354,0,True
94,9,tab_switch,warning,2026-08-24 23:27:34.352354,0,True
95,9,tab_switch,warning,2026-08-24 23:42:07.352354,0,True
96,9,focus_loss,warning,2026-08-24 23:12:28.352354,20,True
97,9,focus_loss,warning,2026-08-24 23:11:04.352354,16,True
98,9,focus_loss,warning,2026-08-24 23:23:24.352354,4,True
99,9,focus_loss,warning,2026-08-24 23:05:05.352354,14,True
100,9,focus_loss,warning,2026-08-24 23:16:42.352354,14,True
101,9,focus_loss,warning,2026-08-24 23:19:24.352354,24,True
102,9,focus_loss,warning,2026-08-24 23:09:23.352354,24,True
103,9,focus_loss,warning,2026-08-24 23:40:35.352354,14,True
104,9,focus_loss,warning,2026-08-24 23:30:06.352354,30,True
105,9,focus_loss,warning,2026-08-24 23:12:55.352354,22,True
106,9,face_absent,critical,2026-08-24 23:18:31.352354,135,True
107,9,face_absent,critical,2026-08-24 23:13:27.352354,135,True
108,9,face_absent,critical,2026-08-24 23:14:27.352354,136,True
109,9,multi_face,critical,2026-08-24 23:30:30.352354,0,True
110,9,multi_face,critical,2026-08-24 23:04:03.352354,0,True
111,9,multi_face,critical,2026-08-24 23:14:36.352354,0,True
112,9,audio_spike,warning,2026-08-24 23:25:02.352354,0,True
113,9,audio_spike,warning,2026-08-24 23:30:28.352354,0,True
114,9,audio_spike,warning,2026-08-24 23:19:18.352354,0,True
115,9,audio_spike,warning,2026-08-24 23:20:34.352354,0,True
116,9,audio_spike,warning,2026-08-24 23:13:14.352354,0,True
117,9,audio_spike,warning,2026-08-24 23:09:44.352354,0,True
118,10,tab_switch,warning,2026-09-04 07:00:34.639328,0,True
119,10,tab_switch,warning,2026-09-04 06:46:57.639328,0,True
120,10,tab_switch,warning,2026-09-04 06:58:32.639328,0,True
121,10,tab_switch,warning,2026-09-04 07:12:33.639328,0,True
122,10,tab_switch,warning,2026-09-04 07:07:45.639328,0,True
123,10,tab_switch,warning,2026-09-04 07:04:22.639328,0,True
124,10,tab_switch,warning,2026-09-04 06:50:05.639328,0,True
125,10,tab_switch,warning,2026-09-04 07:04:24.639328,0,True
126,10,tab_switch,warning,2026-09-04 07:09:19.639328,0,True
127,10,tab_switch,warning,2026-09-04 07:29:08.639328,0,True
128,10,focus_loss,warning,2026-09-04 07:12:38.639328,19,True
129,10,focus_loss,warning,2026-09-04 07:21:57.639328,24,True
